SEASON,TEAM_ID,TEAM_NAME,Restricted Area FGM,Restricted Area FGA,Restricted Area FG_PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG_PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG_PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG_PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG_PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG_PCT,Backcourt FGM,Backcourt FGA,Backcourt FG_PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG_PCT
1996-97,1610612737,Atlanta Hawks,14.7,27.0,0.543,2.9,6.6,0.436,11.9,29.9,0.399,1.0,2.4,0.394,0.6,1.5,0.414,3.4,9.7,0.349,0.0,0.7,0.0,1.5,3.8,0.401
1996-97,1610612738,Boston Celtics,19.3,44.0,0.438,3.3,6.9,0.478,11.4,23.8,0.477,0.7,1.5,0.46,0.9,2.1,0.407,2.1,7.1,0.298,0.0,0.3,0.0,1.4,3.3,0.43
1996-97,1610612766,Charlotte Hornets,16.5,37.3,0.442,2.5,5.2,0.487,14.1,27.7,0.51,0.9,1.4,0.645,0.8,1.3,0.585,2.2,5.5,0.395,0.0,0.5,0.0,1.5,2.4,0.617
1996-97,1610612741,Chicago Bulls,14.6,26.6,0.548,3.8,8.0,0.468,18.8,41.5,0.452,0.4,1.0,0.391,0.6,1.5,0.427,2.2,6.5,0.33,0.0,0.4,0.0,0.8,2.0,0.412
1996-97,1610612739,Cleveland Cavaliers,13.2,23.8,0.557,3.1,8.2,0.381,14.4,34.5,0.417,0.5,1.2,0.417,0.5,1.6,0.333,1.3,3.9,0.345,0.0,0.5,0.0,1.0,2.6,0.367
1996-97,1610612742,Dallas Mavericks,15.5,27.4,0.564,4.1,10.3,0.398,12.3,33.4,0.368,0.6,1.6,0.353,0.5,1.4,0.383,1.5,5.0,0.307,0.1,0.5,0.1,1.0,2.7,0.366
1996-97,1610612743,Denver Nuggets,13.0,24.4,0.534,4.6,9.8,0.467,14.2,36.4,0.392,0.7,2.0,0.361,0.3,1.1,0.299,3.1,8.4,0.365,0.1,0.5,0.143,0.9,2.7,0.341
1996-97,1610612765,Detroit Pistons,13.9,23.9,0.584,3.5,8.7,0.403,12.2,29.1,0.419,0.8,2.2,0.383,0.8,2.2,0.354,3.4,8.7,0.392,0.0,0.5,0.0,1.5,4.0,0.368
1996-97,1610612744,Golden State Warriors,15.5,26.8,0.578,4.9,11.0,0.442,13.7,34.8,0.395,0.4,1.0,0.365,0.5,1.1,0.429,1.7,5.6,0.307,0.0,0.4,0.0,0.8,1.9,0.397
1996-97,1610612745,Houston Rockets,16.0,26.8,0.596,5.5,11.5,0.473,11.8,30.6,0.386,1.0,2.4,0.409,0.5,1.3,0.408,2.4,6.6,0.36,0.1,0.7,0.167,1.4,3.4,0.409
1996-97,1610612754,Indiana Pacers,15.4,28.0,0.551,4.2,10.2,0.411,12.6,30.8,0.411,0.4,1.2,0.349,0.3,0.8,0.315,1.9,5.5,0.35,0.1,0.5,0.167,0.6,1.8,0.336
1996-97,1610612746,Los Angeles Clippers,16.6,30.3,0.549,3.7,8.6,0.427,13.4,34.4,0.389,0.5,1.3,0.352,0.6,0.9,0.623,2.0,6.5,0.305,0.0,0.7,0.0,0.8,1.8,0.454
1996-97,1610612747,Los Angeles Lakers,18.5,33.9,0.546,4.8,10.9,0.439,9.5,25.4,0.375,0.7,1.5,0.458,0.5,1.1,0.458,3.2,9.0,0.352,0.0,0.8,0.0,1.0,2.2,0.458
1996-97,1610612748,Miami Heat,14.4,24.7,0.585,4.4,11.1,0.391,11.4,29.1,0.393,0.9,2.2,0.392,1.0,2.4,0.424,2.5,6.8,0.362,0.1,0.6,0.091,1.7,4.2,0.408
1996-97,1610612749,Milwaukee Bucks,15.9,28.0,0.567,5.2,11.9,0.44,12.4,29.3,0.422,0.3,0.7,0.415,0.4,0.9,0.406,2.2,6.5,0.344,0.1,0.5,0.125,0.6,1.4,0.41
1996-97,1610612750,Minnesota Timberwolves,15.0,26.7,0.561,3.9,9.2,0.427,14.6,35.9,0.406,0.5,1.2,0.407,0.4,1.0,0.377,1.6,4.7,0.337,0.0,0.6,0.0,0.8,1.9,0.394
1996-97,1610612751,New Jersey Nets,16.3,31.7,0.514,3.9,10.6,0.37,13.0,34.5,0.376,0.6,1.5,0.441,0.3,1.1,0.294,2.5,7.5,0.337,0.0,0.7,0.0,0.8,2.2,0.382
1996-97,1610612752,New York Knicks,15.3,28.0,0.546,3.8,7.9,0.483,13.3,32.2,0.415,0.4,1.2,0.313,0.7,1.5,0.455,1.9,5.6,0.33,0.0,0.5,0.0,0.9,2.3,0.39
1996-97,1610612753,Orlando Magic,15.7,28.2,0.557,4.0,9.9,0.406,11.7,31.8,0.367,0.9,1.9,0.469,0.7,1.5,0.451,1.9,6.4,0.291,0.0,0.7,0.0,1.5,3.2,0.461
1996-97,1610612755,Philadelphia 76ers,19.3,36.6,0.528,3.3,7.2,0.456,10.5,28.4,0.369,0.6,1.2,0.53,0.5,1.3,0.397,2.9,9.9,0.288,0.0,0.4,0.0,0.9,2.0,0.458
1996-97,1610612756,Phoenix Suns,17.5,28.9,0.607,4.4,10.2,0.433,14.0,36.0,0.39,0.7,1.9,0.357,0.6,1.5,0.408,1.3,3.8,0.331,0.1,0.7,0.1,1.1,3.0,0.378
1996-97,1610612757,Portland Trail Blazers,17.5,31.0,0.567,5.3,12.6,0.421,12.0,29.8,0.405,0.3,0.7,0.386,0.3,0.8,0.333,1.5,5.2,0.292,0.0,0.7,0.0,0.4,1.1,0.36
1996-97,1610612758,Sacramento Kings,14.6,26.7,0.546,5.2,11.9,0.437,14.9,36.6,0.406,0.7,1.3,0.518,0.6,1.3,0.438,1.0,3.5,0.302,0.0,0.6,0.0,1.0,2.1,0.481
1996-97,1610612759,San Antonio Spurs,17.7,33.8,0.525,3.4,8.0,0.424,11.3,29.3,0.384,0.5,1.5,0.321,0.5,1.1,0.424,1.4,4.8,0.287,0.0,0.0,0.0,0.8,2.2,0.36
1996-97,1610612760,Seattle SuperSonics,19.5,34.5,0.567,3.4,7.5,0.452,10.4,27.5,0.376,0.7,1.9,0.367,0.6,1.5,0.364,2.1,5.6,0.381,0.0,0.5,0.0,1.1,3.1,0.366
1996-97,1610612761,Toronto Raptors,16.8,31.0,0.543,3.6,9.7,0.372,12.1,31.7,0.382,0.5,1.6,0.319,0.5,1.6,0.313,1.9,5.7,0.34,0.0,0.5,0.1,0.9,2.9,0.316
1996-97,1610612762,Utah Jazz,18.9,30.7,0.614,3.9,8.1,0.477,13.7,31.9,0.431,0.3,0.7,0.489,0.4,0.9,0.406,1.2,3.8,0.307,0.0,0.3,0.0,0.6,1.4,0.44
1996-97,1610612763,Vancouver Grizzlies,15.3,28.0,0.548,4.3,9.4,0.456,12.0,32.8,0.365,0.4,1.3,0.28,0.6,1.6,0.391,1.9,5.9,0.328,0.0,0.5,0.0,0.9,2.6,0.341
1996-97,1610612764,Washington Bullets,18.7,32.2,0.582,5.6,11.8,0.478,11.9,29.1,0.411,0.3,1.2,0.244,0.7,1.8,0.391,2.0,5.8,0.341,0.0,0.9,0.0,0.9,2.8,0.333
1997-98,1610612737,Atlanta Hawks,16.0,26.8,0.598,3.7,10.1,0.367,11.4,28.3,0.404,0.3,1.0,0.279,0.2,0.6,0.333,3.7,10.9,0.334,0.2,0.6,0.286,0.4,1.4,0.299
1997-98,1610612738,Boston Celtics,16.5,29.5,0.56,4.1,11.7,0.353,11.0,28.1,0.392,0.4,1.4,0.294,0.3,1.0,0.333,4.5,13.1,0.339,0.0,0.5,0.0,0.6,2.0,0.309
1997-98,1610612766,Charlotte Hornets,16.6,27.6,0.602,3.8,10.4,0.364,11.6,28.4,0.408,0.6,1.6,0.365,0.6,1.4,0.416,3.2,8.3,0.384,0.0,0.4,0.0,1.1,2.7,0.389
1997-98,1610612741,Chicago Bulls,16.2,26.7,0.605,3.3,8.6,0.384,14.2,36.0,0.394,0.3,0.9,0.339,0.6,1.6,0.359,3.0,9.6,0.316,0.0,0.4,0.0,0.8,2.1,0.352
1997-98,1610612739,Cleveland Cavaliers,16.1,27.1,0.593,4.3,12.2,0.351,10.4,26.7,0.389,0.8,1.7,0.492,0.5,1.3,0.365,2.5,7.1,0.356,0.0,0.6,0.0,1.2,2.6,0.438
1997-98,1610612742,Dallas Mavericks,12.0,21.6,0.553,4.6,11.4,0.403,13.5,35.1,0.384,0.7,1.6,0.415,0.5,1.5,0.343,4.1,11.4,0.357,0.1,0.7,0.111,1.1,2.8,0.382
1997-98,1610612743,Denver Nuggets,13.7,23.4,0.585,3.1,8.5,0.363,12.4,35.4,0.349,0.3,0.9,0.333,0.4,1.1,0.354,2.9,9.1,0.32,0.1,0.5,0.111,0.6,1.8,0.345
1997-98,1610612765,Detroit Pistons,16.3,26.2,0.621,3.7,10.0,0.375,11.3,30.2,0.376,0.2,1.0,0.236,0.3,0.9,0.271,3.2,9.7,0.325,0.0,0.4,0.0,0.4,1.7,0.252
1997-98,1610612744,Golden State Warriors,14.2,24.1,0.591,4.3,14.0,0.308,13.8,37.3,0.37,0.3,0.9,0.295,0.2,0.8,0.296,1.9,7.0,0.271,0.1,0.6,0.1,0.4,1.5,0.296
1997-98,1610612745,Houston Rockets,15.5,24.8,0.625,4.2,10.5,0.4,9.4,24.4,0.387,0.6,1.7,0.362,0.6,1.8,0.336,5.7,16.4,0.345,0.0,0.5,0.0,1.2,3.3,0.348
1997-98,1610612754,Indiana Pacers,13.9,21.3,0.653,4.4,11.8,0.372,12.4,30.2,0.412,0.8,1.9,0.404,0.4,1.0,0.383,3.9,9.9,0.39,0.1,0.7,0.182,1.0,2.6,0.398
1997-98,1610612746,Los Angeles Clippers,16.7,27.4,0.61,4.2,12.7,0.334,8.4,23.7,0.355,0.6,1.8,0.364,0.5,1.5,0.363,5.3,14.8,0.357,0.0,0.6,0.0,1.1,3.0,0.363
1997-98,1610612747,Los Angeles Lakers,22.1,34.5,0.642,4.9,12.9,0.38,5.3,15.1,0.351,0.8,2.1,0.385,0.6,1.4,0.411,4.8,14.0,0.342,0.1,0.4,0.125,1.3,3.2,0.395
1997-98,1610612748,Miami Heat,14.9,23.6,0.629,4.6,12.2,0.376,8.7,22.7,0.385,0.8,2.5,0.321,1.1,2.7,0.412,4.8,13.6,0.349,0.1,0.4,0.125,1.8,5.0,0.369
1997-98,1610612749,Milwaukee Bucks,13.3,22.1,0.603,5.0,12.6,0.395,14.2,34.8,0.409,0.4,1.0,0.426,0.3,0.9,0.367,2.4,6.8,0.357,0.0,0.8,0.05,0.6,1.6,0.397
1997-98,1610612750,Minnesota Timberwolves,14.9,25.2,0.592,4.8,12.2,0.393,15.1,35.5,0.425,0.5,1.0,0.459,0.7,1.6,0.415,2.6,8.0,0.33,0.0,0.6,0.0,1.0,2.4,0.431
1997-98,1610612751,New Jersey Nets,16.6,28.9,0.573,3.8,10.9,0.353,13.1,33.3,0.393,0.4,1.3,0.296,0.4,0.9,0.424,3.2,9.5,0.331,0.0,0.6,0.0,0.6,1.8,0.35
1997-98,1610612752,New York Knicks,14.5,25.0,0.579,2.9,7.7,0.376,12.9,31.6,0.408,0.6,1.4,0.394,0.5,1.5,0.315,3.7,11.1,0.337,0.0,0.7,0.0,0.9,2.6,0.354
1997-98,1610612753,Orlando Magic,15.2,25.8,0.589,3.0,9.0,0.33,12.1,33.1,0.367,0.4,1.0,0.342,0.4,1.1,0.356,2.9,9.0,0.318,0.0,0.6,0.0,0.7,1.9,0.349
1997-98,1610612755,Philadelphia 76ers,16.7,28.5,0.586,3.9,11.6,0.339,11.0,28.2,0.39,0.4,1.1,0.333,0.3,0.8,0.396,2.4,8.3,0.293,0.1,0.7,0.143,0.5,1.5,0.359
1997-98,1610612756,Phoenix Suns,16.2,26.0,0.625,4.6,11.0,0.413,12.3,30.3,0.406,0.7,1.7,0.382,0.6,1.7,0.354,4.0,11.3,0.356,0.0,0.6,0.0,1.2,3.2,0.368
1997-98,1610612757,Portland Trail Blazers,16.9,27.4,0.616,5.2,13.5,0.383,9.6,25.4,0.377,0.3,1.0,0.3,0.3,0.9,0.288,3.1,10.1,0.306,0.0,0.7,0.0,0.5,1.6,0.295
1997-98,1610612758,Sacramento Kings,15.5,25.9,0.597,5.3,13.5,0.394,11.8,32.3,0.366,0.3,0.8,0.4,0.5,1.3,0.424,2.7,7.8,0.343,0.0,0.5,0.0,0.8,2.0,0.415
1997-98,1610612759,San Antonio Spurs,17.4,28.6,0.608,4.3,11.0,0.389,10.1,25.5,0.395,0.5,1.7,0.302,0.5,1.2,0.385,2.7,7.7,0.354,0.0,0.6,0.0,0.9,2.7,0.336
1997-98,1610612760,Seattle SuperSonics,17.1,27.2,0.627,3.8,10.3,0.372,8.9,22.3,0.396,0.8,2.1,0.4,0.9,1.9,0.449,5.8,15.1,0.388,0.1,0.4,0.333,1.6,3.8,0.423
1997-98,1610612761,Toronto Raptors,17.3,30.4,0.57,4.0,11.5,0.346,10.3,27.9,0.369,0.6,1.5,0.413,0.5,1.3,0.386,3.6,10.8,0.332,0.0,0.4,0.0,1.0,2.6,0.401
1997-98,1610612762,Utah Jazz,17.8,29.4,0.605,3.2,7.9,0.404,12.5,29.2,0.429,0.2,0.6,0.308,0.4,1.0,0.439,2.5,6.7,0.371,0.0,0.3,0.0,0.5,1.4,0.39
1997-98,1610612763,Vancouver Grizzlies,17.4,28.3,0.615,4.8,13.0,0.372,10.5,27.9,0.375,0.6,1.3,0.471,0.7,1.5,0.442,2.9,8.4,0.341,0.0,0.8,0.0,1.1,2.5,0.455
1997-98,1610612764,Washington Wizards,16.1,26.4,0.611,4.4,12.2,0.357,13.2,33.0,0.399,0.4,1.3,0.341,0.7,1.8,0.381,2.9,8.7,0.333,0.0,0.5,0.0,1.0,2.8,0.364
1998-99,1610612737,Atlanta Hawks,12.8,22.2,0.578,3.9,11.7,0.33,10.2,28.5,0.358,0.3,1.0,0.357,0.1,0.5,0.211,3.5,11.5,0.309,0.0,0.6,0.0,0.4,1.3,0.311
1998-99,1610612738,Boston Celtics,15.8,28.2,0.559,4.8,12.8,0.374,10.3,27.2,0.379,0.9,2.3,0.398,0.7,1.7,0.397,4.0,11.4,0.353,0.0,0.3,0.0,1.4,3.6,0.398
1998-99,1610612766,Charlotte Hornets,13.4,21.3,0.629,3.6,9.6,0.373,11.1,28.8,0.385,1.3,2.4,0.534,0.4,1.4,0.294,3.7,10.9,0.34,0.0,0.8,0.0,1.6,3.7,0.446
1998-99,1610612741,Chicago Bulls,12.9,23.4,0.553,3.8,11.5,0.33,10.5,29.7,0.355,0.4,1.1,0.34,0.4,1.3,0.296,2.9,10.1,0.286,0.0,0.4,0.0,0.7,2.1,0.317
1998-99,1610612739,Cleveland Cavaliers,14.2,25.8,0.551,3.1,9.0,0.345,10.3,25.7,0.399,0.5,1.5,0.338,0.8,1.6,0.486,2.5,7.7,0.318,0.1,0.6,0.167,1.2,2.8,0.415
1998-99,1610612742,Dallas Mavericks,13.3,23.1,0.577,4.9,11.7,0.415,12.8,33.8,0.377,0.5,1.3,0.35,0.4,1.1,0.327,3.3,9.7,0.339,0.0,0.7,0.0,0.8,2.3,0.339
1998-99,1610612743,Denver Nuggets,13.5,24.1,0.561,4.2,10.6,0.4,9.9,26.8,0.369,0.8,2.1,0.37,1.1,2.7,0.417,4.1,13.6,0.304,0.0,0.3,0.0,1.9,4.7,0.397
1998-99,1610612765,Detroit Pistons,14.4,24.0,0.602,3.2,8.9,0.364,10.6,27.9,0.379,0.6,1.5,0.412,0.5,1.2,0.436,3.9,11.1,0.354,0.0,0.6,0.0,1.1,2.5,0.423
1998-99,1610612744,Golden State Warriors,12.9,22.7,0.567,5.3,15.8,0.337,13.2,33.7,0.392,0.4,1.2,0.321,0.6,1.9,0.317,2.3,8.4,0.278,0.0,0.9,0.0,0.9,2.8,0.319
1998-99,1610612745,Houston Rockets,15.4,23.6,0.652,4.6,12.1,0.383,8.4,22.0,0.382,0.9,2.0,0.453,0.5,1.8,0.299,5.3,14.7,0.364,0.1,0.5,0.25,1.3,3.5,0.376
1998-99,1610612754,Indiana Pacers,11.6,19.3,0.601,4.9,12.8,0.383,12.3,29.3,0.419,1.1,2.6,0.423,0.6,1.8,0.341,4.2,11.7,0.361,0.1,0.7,0.167,1.6,4.2,0.389
1998-99,1610612746,Los Angeles Clippers,15.5,26.2,0.59,5.7,15.4,0.371,8.8,25.2,0.349,0.6,1.2,0.481,0.6,1.6,0.352,3.3,10.8,0.301,0.0,0.8,0.0,1.1,2.6,0.407
1998-99,1610612747,Los Angeles Lakers,17.2,26.8,0.64,6.2,15.2,0.408,8.6,22.9,0.376,0.4,1.6,0.268,0.6,1.3,0.473,3.9,11.1,0.354,0.0,0.7,0.0,0.9,2.6,0.357
1998-99,1610612748,Miami Heat,12.8,20.8,0.613,3.9,9.7,0.4,10.0,24.9,0.403,0.6,1.7,0.355,0.9,2.4,0.36,4.3,12.0,0.357,0.0,0.5,0.0,1.4,3.8,0.358
1998-99,1610612749,Milwaukee Bucks,13.1,21.9,0.599,3.9,9.7,0.404,13.4,32.4,0.414,0.8,2.0,0.381,0.6,1.9,0.341,3.2,8.5,0.381,0.0,0.4,0.0,1.4,3.8,0.362
1998-99,1610612750,Minnesota Timberwolves,12.2,22.7,0.539,4.8,12.7,0.38,17.3,43.0,0.402,0.3,1.1,0.286,0.3,1.0,0.34,1.8,6.1,0.299,0.0,0.6,0.0,0.6,2.0,0.313
1998-99,1610612751,New Jersey Nets,15.0,27.1,0.555,3.0,9.6,0.309,11.3,32.9,0.345,0.3,1.1,0.319,0.5,1.2,0.382,3.8,11.5,0.328,0.0,0.4,0.0,0.7,2.1,0.353
1998-99,1610612752,New York Knicks,13.6,23.8,0.573,4.2,12.0,0.353,10.2,26.5,0.384,0.4,1.3,0.317,0.5,1.4,0.339,3.3,9.3,0.361,0.1,0.3,0.25,0.8,2.5,0.328
1998-99,1610612753,Orlando Magic,14.4,23.9,0.601,3.2,10.2,0.317,11.7,31.2,0.374,0.6,1.3,0.466,0.3,0.9,0.316,3.7,11.4,0.323,0.0,0.8,0.0,0.8,2.0,0.406
1998-99,1610612755,Philadelphia 76ers,15.7,24.8,0.633,3.6,12.9,0.276,11.9,32.6,0.366,0.4,0.9,0.444,0.3,0.8,0.371,1.4,5.9,0.232,0.0,0.5,0.0,0.6,1.4,0.408
1998-99,1610612756,Phoenix Suns,14.0,22.8,0.617,4.4,11.7,0.377,12.3,31.6,0.388,0.8,1.9,0.411,0.5,1.6,0.348,4.0,10.7,0.371,0.0,0.6,0.0,1.3,3.3,0.385
1998-99,1610612757,Portland Trail Blazers,14.3,23.9,0.6,4.4,12.2,0.36,11.3,29.6,0.382,0.6,1.3,0.444,0.9,1.9,0.449,3.6,10.4,0.343,0.0,0.4,0.0,1.4,3.0,0.447
1998-99,1610612758,Sacramento Kings,18.6,29.0,0.642,6.0,14.8,0.409,8.0,23.6,0.338,0.6,2.1,0.3,0.6,1.9,0.311,4.6,14.9,0.311,0.0,0.7,0.0,1.2,3.8,0.305
1998-99,1610612759,San Antonio Spurs,16.3,26.3,0.619,4.4,11.9,0.373,10.7,27.6,0.386,1.1,2.3,0.464,0.5,1.4,0.373,1.9,6.7,0.283,0.0,0.8,0.0,1.5,3.6,0.43
1998-99,1610612760,Seattle SuperSonics,16.0,24.9,0.643,4.7,14.0,0.339,8.2,22.7,0.361,0.8,2.5,0.323,0.6,1.6,0.364,4.8,13.8,0.347,0.0,0.4,0.0,1.4,4.0,0.338
1998-99,1610612761,Toronto Raptors,13.2,24.2,0.547,4.2,11.1,0.378,11.3,30.3,0.372,0.6,1.9,0.299,0.8,2.1,0.354,3.3,9.4,0.352,0.0,0.6,0.0,1.2,3.7,0.328
1998-99,1610612762,Utah Jazz,16.4,26.8,0.613,3.1,9.4,0.333,11.4,28.5,0.399,0.3,0.6,0.519,0.5,1.0,0.5,2.1,6.3,0.329,0.0,0.3,0.0,0.7,1.4,0.507
1998-99,1610612763,Vancouver Grizzlies,15.1,25.7,0.588,4.5,14.1,0.318,10.3,27.9,0.369,0.4,0.9,0.378,0.5,1.6,0.329,2.2,6.7,0.327,0.0,0.6,0.0,0.8,2.3,0.345
1998-99,1610612764,Washington Wizards,14.1,22.9,0.618,4.1,11.2,0.364,13.6,33.8,0.401,0.3,1.1,0.286,0.5,1.6,0.333,2.9,9.2,0.312,0.0,0.5,0.0,0.8,2.5,0.314
1999-00,1610612737,Atlanta Hawks,13.8,22.4,0.614,4.9,12.8,0.38,14.8,38.0,0.391,0.4,0.8,0.468,0.3,0.7,0.429,2.5,8.4,0.299,0.1,0.8,0.091,0.6,1.4,0.45
1999-00,1610612738,Boston Celtics,16.2,28.2,0.573,5.1,14.1,0.364,10.9,26.2,0.414,0.7,1.9,0.37,0.8,2.3,0.335,3.7,11.3,0.326,0.0,0.3,0.0,1.4,4.0,0.351
1999-00,1610612766,Charlotte Hornets,14.9,24.2,0.614,4.4,11.3,0.391,12.4,32.1,0.387,0.5,1.5,0.351,0.3,1.0,0.307,3.3,9.8,0.342,0.0,0.4,0.0,0.8,2.3,0.333
1999-00,1610612741,Chicago Bulls,13.1,23.9,0.55,4.5,12.0,0.371,9.6,26.9,0.356,0.4,1.1,0.329,0.4,1.3,0.302,3.5,10.4,0.334,0.0,0.6,0.0,0.7,2.1,0.314
1999-00,1610612739,Cleveland Cavaliers,16.2,28.1,0.577,4.0,12.0,0.337,11.9,30.9,0.385,0.7,1.7,0.395,0.3,0.8,0.4,3.2,8.8,0.369,0.0,0.3,0.0,0.9,2.4,0.397
1999-00,1610612742,Dallas Mavericks,13.5,22.2,0.611,5.0,13.8,0.36,14.2,33.9,0.418,0.9,2.0,0.462,1.1,2.6,0.433,4.3,11.6,0.371,0.1,0.5,0.125,2.0,4.4,0.446
1999-00,1610612743,Denver Nuggets,16.3,26.3,0.62,4.3,11.7,0.367,11.0,29.3,0.375,0.7,2.1,0.339,1.0,2.8,0.359,4.1,12.2,0.333,0.1,0.6,0.1,1.6,4.7,0.351
1999-00,1610612765,Detroit Pistons,16.8,28.3,0.595,2.5,6.9,0.361,12.4,30.8,0.404,0.8,2.0,0.406,0.8,2.0,0.411,3.8,11.1,0.345,0.0,0.4,0.0,1.5,3.7,0.408
1999-00,1610612744,Golden State Warriors,15.1,25.7,0.587,5.9,16.5,0.355,11.4,31.9,0.358,0.4,1.2,0.312,0.7,1.8,0.421,3.1,10.2,0.308,0.0,0.6,0.0,1.0,2.8,0.376
